id,"error","correct"
3006,"overshaddowed","overshadowed"
3007,"oversite","oversight"
3008,"overule","overrule"
3009,"overun","overrun"
3010,"overwelming","overwhelming"
3011,"oveture","overture"
3012,"owrk","work"
3013,"owudl","would"
3014,"oxens	","	oxen [plural], oxen's	"
3015,"oxes	","	oxen [plural], ox's	"
3016,"oxigen","oxygen"
3017,"oximoron","oxymoron"
3018,"oxyen","oxygen"
3019,"paide","paid"
3020,"palce","place, palace"
3021,"paliament","parliament"
3022,"paliamentarian","parliamentarian"
3023,"Palistian","Palestinian"
3024,"Palistinian","Palestinian"
3025,"Palistinians","Palestinians"
3026,"pallete","palette"
3027,"pallour","variant of pallor"
3028,"palyed","played"
3029,"palyer","player"
3030,"palying","playing"
3031,"pamflet","pamphlet"
3032,"pamplet","pamphlet"
3033,"panal","panel"
3034,"panarama","panorama"
3035,"paneled","variant of panelled"
3036,"paneling","variant of panelling"
3037,"panelled","variant of paneled"
3038,"panelling","variant of paneling"
3039,"panicing","panicking"
3040,"paniking","panicking"
3041,"pantomine","pantomime"
3042,"Papanicalou","Papanicolaou"
3043,"paparazzis","paparazzi [plural]"
3044,"paralel","parallel"
3045,"paralell","parallel"
3046,"paralelly","parallelly"
3047,"paralely","parallelly"
3048,"parallell","parallel"
3049,"parallely","parallelly"
3050,"paranthesis","parenthesis"
3051,"paraphenalia","paraphernalia"
3052,"parituclar","particular"
3053,"parlament","parliament"
3054,"parliment","parliament"
3055,"parlour","variant of parlor"
3056,"parrakeets","parakeets"
3057,"parralel","parallel"
3058,"parrallel","parallel"
3059,"parrallell","parallel"
3060,"parrallelly","parallelly"
3061,"parrallely","parallelly"
3062,"parseable","parsable"
3063,"partecipate","participate"
3064,"partialy","partially"
3065,"partical","partial, particle"
3066,"particpant","participant"
3067,"particpated","participated"
3068,"particularily","particularly"
3069,"partion","partition, portion"
3070,"partipate","participate"
3071,"pased","paced, passed"
3072,"pasenger","passenger"
3073,"passanger","passenger"
3074,"passtime","pastime"
3075,"pasted","passed, pasted [paste]"
3076,"pastorial","pastoral"
3077,"pasttime","pastime"
3078,"pastural","pastoral"
3079,"pasturize","pasteurize"
3080,"pattent","patent"
3081,"pattented","patented"
3082,"pavillion","pavilion"
3083,"paviour","variant of pavior"
3084,"payed","paid"
3085,"payler","player"
3086,"peachs","peaches [plural]"
3087,"peasent","peasant"
3088,"peculure","peculiar"
3089,"peform","perform"
3090,"peformance","performance"
3091,"peice","piece"
3092,"peleton","peloton"
3093,"Peloponnes","Peloponnese, Peloponnesus"
3094,"penalise","variant of penalize"
3095,"penatly","penalty"
3096,"peninnsula","peninsula"
3097,"penisula","peninsula"
3098,"penisular","peninsular"
3099,"penninsula","peninsula"
3100,"penninsular","peninsular"
3101,"pennisula","peninsula"
3102,"Pennsilvania","Pennsylvania"
3103,"pensinsula","peninsula"
3104,"Pensylvania","Pennsylvania"
3105,"peom","poem"
3106,"peopel","people"
3107,"peotry","poetry"
3108,"pepole","people"
3109,"perameter","parameter"
3110,"percepted","perceived"
3111,"percieve","perceive"
3112,"perculiar","peculiar"
3113,"perfom","perform"
3114,"perfomance","performance"
3115,"perfoming","performing"
3116,"performence","performance"
3117,"performes","performed, performs"
3118,"perhasp","perhaps"
3119,"perheaps","perhaps"
3120,"perhpas","perhaps"
3121,"peripathetic","peripatetic"
3122,"perjery","perjury"
3123,"perjorative","pejorative"
3124,"permanant","permanent"
3125,"permenant","permanent"
3126,"permissable","permissible"
3127,"permited","permitted"
3128,"permiting","permitting"
3129,"permitt","permit"
3130,"perogative","prerogative"
3131,"perpare","prepare"
3132,"perphas","perhaps"
3133,"perpindicular","perpendicular"
3134,"persaude","persuade"
3135,"persay","per se"
3136,"perserverance","perseverance"
3137,"perservere","persevere"
3138,"perserverence","perseverance"
3139,"perseverence","perseverance"
3140,"perseverent","perseverant"
3141,"persistance","persistence"
3142,"persistant","persistent"
3143,"personalise","variant of personalize"
3144,"personaly","personally"
3145,"personel","personal, personnel"
3146,"personell","personnel"
3147,"personnal","personal, personnel"
3148,"personnell","personnel"
3149,"persue","pursue"
3150,"persuing","pursuing"
3151,"persuit","pursuit"
3152,"pertubation","perturbation"
3153,"pertubations","perturbations"
3154,"perview","purview"
3155,"petetion","petition"
3156,"pessiary","pessary"
3157,"Pharoah","Pharaoh"
3158,"phenomenonal","phenomenal"
3159,"phenomenonly","phenomenally"
3160,"phenominal","phenomenal"
3161,"phenomonenon","phenomenon"
3162,"phenonmena","phenomena"
3163,"Pheonix","Phoenix --Mirokado	UTC"
3164,"phial","variant of vial"
3165,"Philadephia","Philadelphia"
3166,"philantropist","philanthropist"
3167,"Philedelphia","Philadelphia"
3168,"Philipines","Philippines"
3169,"philisopher","philosopher"
3170,"philisophical","philosophical"
3171,"philisophy","philosophy"
3172,"Phillipine","Philippine"
3173,"Phillipines","Philippines"
3174,"Phillippine","Philippine"
3175,"Phillippines","Philippines"
3176,"philosphy","philosophy"
3177,"Phonecian","Phoenician"
3178,"phongraph","phonograph"
3179,"physican","physician"
3180,"physicial","physical"
3181,"pich","pitch"
3182,"pidgeon","pigeon"
3183,"pilgrimmage","pilgrimage"
3184,"piligrim","pilgrim"
3185,"pinapple","pineapple"
3186,"pinnaple","pineapple"
3187,"plagarism","plagiarism"
3188,"plagarize","plagiarize"
3189,"plagiarise","variant of plagiarize"
3190,"plantiff","plaintiff"
3191,"planed","planed [smoothed wood], planned [plan]"
3192,"playright","playwright"
3193,"playwrite","playwright"
3194,"pleasnat","pleasant"
3195,"plebicite","plebiscite"
3196,"plentitude","plenitude"
3197,"plesant","pleasant"
3198,"plethura","plethora"
3199,"plough","British variant of plow"
3200,"plow","American variant of plough"
3201,"plyed","played, plied"
3202,"poinsetta","poinsettia"
3203,"poisin","poison"
3204,"pokemon","Pok"
3205,"polarisation","variant of polarization"
3206,"polarise","variant of polarize"
3207,"polination","pollination"
3208,"polinator","pollinator"
3209,"polinators","pollinators"
3210,"politian","politician"
3211,"polute","pollute"
3212,"polution","pollution"
3213,"polysaccharid","polysaccharide"
3214,"polysaccaride","polysaccharide"
3215,"pomegranite","pomegranate"
3216,"poore","poor, Poore [surname]"
3217,"populaion","population"
3218,"popularaty","popularity"
3219,"popularise","variant of popularize"
3220,"porportion","proportion"
3221,"Portugese","Portuguese"
3222,"posess","possess"
3223,"posessed","possessed"
3224,"posesses","possesses"
3225,"posessing","possessing"
3226,"posession","possession"
3227,"posible","possible"
3228,"posibly","possibly"
3229,"posistion","position"
3230,"positon","position, positron"
3231,"positve","positive"
3232,"possable","possible"
3233,"possably","possibly"
3234,"posseses","possesses"
3235,"possesing","possessing"
3236,"possesion","possession"
3237,"possibilty","possibility"
3238,"possiblity","possibility"
3239,"possition","position"
3240,"Postdam","Potsdam"
3241,"postion","position"
3242,"postitive","positive"
3243,"postive","positive"
3244,"postumous","posthumous"
3245,"potatos","potatoes"
3246,"potentional","potential"
3247,"potentialy","potentially"
3248,"potray","portray"
3249,"pourpose","purpose"
3250,"powerfull","powerful"
3251,"practial","practical"
3252,"practially","practically"
3253,"practicaly","practically"
3254,"practicioner","practitioner"
3255,"practicioners","practitioners"
3256,"practicly","practically"
3257,"practioner","practitioner"
3258,"practioners","practitioners"
3259,"prairy","prairie"
3260,"prarie","prairie"
3261,"pratice","practice"
3262,"pre-Colombian","pre-Columbian"
3263,"pre-cursor","precursor"
3264,"pre-empt","variant of preempt"
3265,"pre-existant","preexistent"
3266,"preample","preamble"
3267,"precedessor","predecessor"
3268,"preceed","precede"
3269,"preceeded","preceded"
3270,"preceeding","preceding"
3271,"preceeds","precedes"
3272,"preceive","perceive"
3273,"preception","perception"
3274,"precidence","precedence"
3275,"precident","precedent, president"
3276,"precint","precinct"
3277,"precurser","precursor"
3278,"predjudice","prejudice"
3279,"predominately","predominantly"
3280,"prefection","perfection"
3281,"prefered","preferred"
3282,"prefering","preferring"
3283,"preferr","prefer"
3284,"preferrable","preferable"
3285,"preferrably","preferably"
3286,"preffer","prefer"
3287,"preffered","preferred"
3288,"pregancies","pregnancies"
3289,"pregancy","pregnancy"
3290,"pregnacy","pregnancy"
3291,"preist","priest"
3292,"prejorative","pejorative"
3293,"premanent","permanent"
3294,"premeir","premier, premiere"
3295,"premeire","premier, premiere"
3296,"premeired","premiered"
3297,"premere","premier, premiere"
3298,"premillenial","premillennial"
3299,"premire","premier, premiere"
3300,"premission","permission"
3301,"Premonasterians","Premonstratensians"
3302,"prepair","prepare"
3303,"prepartion","preparation"
3304,"prepatory","preparatory"
3305,"preperation","preparation"
3306,"preperatory","preparatory"
3307,"prescence","presence"
3308,"presense","presence"
3309,"presidence","precedence, presidency"
3310,"presidental","presidential"
3311,"prespective","perspective, prospective"
3312,"pressurisation","variant of pressurization"
3313,"pressurise","variant of pressurize"
3314,"prestigeous","prestigious"
3315,"prestigous","prestigious"
3316,"presumeably","presumably"
3317,"presumibly","presumably"
3318,"presure","pressure"
3319,"presurize","pressurize"
3320,"pretence","variant of pretense"
3321,"prevailance","prevalence"
3322,"prevale","prevail"
3323,"prevelance","prevalence"
3324,"prevelant","prevalent"
3325,"preventation","prevention"
3326,"preventative","acceptable synonym for preventive"
3327,"previus","previous"
3328,"previvous","previous"
3329,"prevous","previous"
3330,"Pricilla","Priscilla"
3331,"pricipal","principal"
3332,"priciple","principle"
3333,"primarially","primarily"
3334,"primarly","primarily"
3335,"primative","primitive"
3336,"primatively","primitively"
3337,"primatives","primitives"
3338,"Prime Minster","Prime Minister"
3339,"primier","premier, premiere"
3340,"primordal","primordial"
3341,"primordeal","primordial"
3342,"principaly","principality, principally"
3343,"principial","principal"
3344,"principly","principally"
3345,"prinicipal","principal"
3346,"Princton","Princeton"
3347,"prioritise","variant of prioritize"
3348,"prision","prison"
3349,"privatley","privately"
3350,"privatly","privately"
3351,"priveledge","privilege"
3352,"priveledges","privileges"
3353,"privelege","privilege"
3354,"priveleged","privileged"
3355,"priveleges","privileges"
3356,"privelidge","privilege"
3357,"privelige","privilege"
3358,"priveliged","privileged"
3359,"priveliges","privileges"
3360,"privilage","privilege"
3361,"priviledge","privilege"
3362,"priviledges","privileges"
3363,"privledge","privilege"
3364,"probablly","probably"
3365,"probalibity","probability"
3366,"probaly","probably"
3367,"probelm","problem"
3368,"proccess","process"
3369,"procede","proceed, precede"
3370,"procedes","proceeds, precedes"
3371,"procedger","procedure"
3372,"proceding","proceeding, preceding"
3373,"proceedure","procedure"
3374,"proclame","proclaim"
3375,"proclomation","proclamation"
3376,"prodcution","production"
3377,"profesion","profusion, profession"
3378,"profesor","professor"
3379,"professionaly","professionally"
3380,"proffesion","profession"
3381,"proffesor","professor"
3382,"profilic","prolific"
3383,"programable","programmable"
3384,"programe","program, programme"
3385,"programer","programmer"
3386,"programme","variant of program"
3387,"progrom","pogrom, program, programme"
3388,"prohabition","prohibition"
3389,"prologomena","prolegomena"
3390,"prominance","prominence"
3391,"prominant","prominent"
3392,"prominate","prominent"
3393,"prominately","prominently, predominately"
3394,"promiscous","promiscuous"
3395,"promixity","proximity"
3396,"pronomial","pronominal"
3397,"pronounciation","pronunciation"
3398,"propably","probably"
3399,"propeled","propelled"
3400,"propeling","propelling"
3401,"propell","propel"
3402,"properity","prosperity, property, propriety"
3403,"propery","property"
3404,"prophacy","prophecy"
3405,"prophecized","prophesied"
3406,"propietary","proprietary"
3407,"propoganda","propaganda"
3408,"propogate","propagate"
3409,"propogation","propagation"
3410,"propogator","propagator"
3411,"propotion","proportion"
3412,"propotional","proportional"
3413,"propper","proper, Propper [surname]"
3414,"proprietory","proprietary"
3415,"proseletyzing","proselytizing"
3416,"protaganist","protagonist"
3417,"protem","pro tem, protein"
3418,"protien","protein"
3419,"protocal","protocol"
3420,"protrait","portrait"
3421,"protray","portray"
3422,"protrayal","portrayal"
3423,"protrayed","portrayed"
3424,"protruberance","protuberance"
3425,"protruberances","protuberances"
3426,"prounounced","pronounced"
3427,"provded","provided"
3428,"providor","provider"
3429,"pseudononymous","pseudonymous"
3430,"pseudonyn","pseudonym"
3431,"psuedo","pseudo"
3432,"psychidelic","psychedelic"
3433,"psychodelic","psychedelic"
3434,"psycology","psychology"
3435,"psyhic","psychic"
3436,"publich","public, publish"
3437,"publicise","variant of publicize"
3438,"puchase","purchase"
3439,"Pucini","Puccini"
3440,"Puertorican","Puerto Rican"
3441,"Puertorrican","Puerto Rican"
3442,"Puertorricans","Puerto Ricans"
3443,"pumkin","pumpkin"
3444,"punchs","punches"
3445,"purchace","purchase"
3446,"purposedly","purposely"
3447,"pursing","pursing [lips], pursuing"
3448,"pursuade","persuade"
3449,"puruse","peruse, pursue"
3450,"put's	","	puts	"
3451,"puting","putting"
3452,"pwn","own"
3453,"pwoer","power"
3454,"pyschedelic","psychedelic"
3455,"pyschic","psychic"
3456,"pyscho","psycho"
3457,"pyschological","psychological"
3458,"pyschology","psychology"
3459,"pyschosomatic","psychosomatic"
3460,"qoute","quote"
3461,"qtuie","quite, quiet"
3462,"quadraped","quadruped"
3463,"quadrapedal","quadrupedal"
3464,"quadriped","quadruped"
3465,"quadripedal","quadrupedal"
3466,"quadripedalism","quadrupedalism"
3467,"quadropedal","quadrupedal"
3468,"qualites","qualit"
3469,"quandry","quandary"
3470,"quanity","quantity"
3471,"quantaty","quantity"
3472,"quantites","quantit"
3473,"quantise","variant of quantize"
3474,"quarantaine","quarantaine [French], quarantine"
3475,"quarternary","quaternary"
3476,"quater","quarter"
3477,"quater-final","quarter-final, quarterfinal"
3478,"quaterback","quarterback"
3479,"quaterly","quarterly"
3480,"quatermaster","quartermaster"
3481,"queazy","queasy"
3482,"questionaire","questionnaire"
3483,"questionned","questioned"
3484,"quicklyu","quickly"
3485,"quicky","quickie, quickly"
3486,"quikly","quickly"
3487,"quindecemvir","quindecimvir"
3488,"quindecemviri","quindecimviri"
3489,"quinquireme","quinquereme"
3490,"quited","quit, quite"
3491,"quitely","quietly, Quitely [surname]"
3492,"quitted","quit"
3493,"quizes","quizzes"
3494,"qutie","quite, quiet"
3495,"rabinnical","rabbinical"
3496,"radicalise","variant of radicalize"
3497,"radient","radiant"
3498,"radify","ratify"
3499,"raelly","really"
3500,"rammification","ramification"
3501,"ranchs	","	ranch's, ranches	"
3502,"rancour","variant of rancor"
3503,"rancourous","rancorous, even in UK"
3504,"randomise","variant of randomize"
3505,"rappid","rapid"
3506,"rarified","variant of rarefied"
3507,"rarley","rarely"
3508,"rationalise","variant of rationalize"
3509,"re-realeased","re-released"
3510,"reachs","reaches"
3511,"reacll","recall"
3512,"reactived","reactivated"
3513,"readly","readily"
3514,"reak","wreak"
3515,"realease","release"
3516,"realise","variant of realize"
3517,"realites","realities"
3518,"realted","related"
3519,"realting","relating"
3520,"realtive","relative"
3521,"realy","really, relay"
3522,"realyl","really"
3523,"reamain","remain"
3524,"reamin","remain"
3525,"reasearch","research"
3526,"reasses","reassess"
3527,"rebroadcasted","rebroadcast"
3528,"rebuilded","rebuilt"
3529,"rebuttle","rebuttal"
3530,"recasted","recast"
3531,"reccent","recent"
3532,"reccomend","recommend"
3533,"reccomended","recommended"
3534,"reccommend","recommend"
3535,"reccommended","recommended"
3536,"reccur","recurr"
3537,"reccuring","recurring"
3538,"receed","recede"
3539,"receeded","receded"
3540,"receeding","receding"
3541,"recentley","recently"
3542,"recepcion","reception"
3543,"recepie","recipe"
3544,"recepient","recipient"
3545,"recepted","received"
3546,"recide","reside"
3547,"recident","resident"
3548,"recidents","residents"
3549,"reciept","receipt"
3550,"recieve","receive"
3551,"recieved","received"
3552,"reciever","receiver"
3553,"recieves","receives"
3554,"recieving","receiving"
3555,"recipiant","recipient"
3556,"recipies","recipes"
3557,"recogise","recognise"
3558,"recogize","recognize"
3559,"recognise","variant of recognize"
3560,"recoiless","recoilless"
3561,"recomend","recommend"
3562,"recomendation","recommendation"
3563,"recomended","recommended"
3564,"recomending","recommending"
3565,"recomends","recommends"
3566,"reconcilation","reconciliation"
3567,"reconciliate","reconcile"
3568,"reconaissance","reconnaissance"
3569,"recongize","recognize"
3570,"reconize","recognize"
3571,"reconnaissence","reconnaissance"
3572,"recoreded","recorded"
3573,"recoupe","recoup"
3574,"recouperate","recuperate"
3575,"recquire","reacquire, require"
3576,"recrational","recreational"
3577,"recrod","record"
3578,"recruted","recruited"
3579,"recured","recurred"
3580,"recuring","recurring"
3581,"recurr","recur"
3582,"recurrance","recurrence"
3583,"recurrant","recurrent"
3584,"redevelope","redevelop"
3585,"redevelopement","redevelopment"
3586,"redicule","ridicule"
3587,"rediculous","ridiculous"
3588,"reducable","reducible"
3589,"redundency","redundancy"
3590,"redundent","redundant"
3591,"referal","referral"
3592,"refered","referred"
3593,"referes","refers"
3594,"refering","referring"
3595,"refernece","reference"
3596,"referr","refer"
3597,"referrence","reference"
3598,"referrs","refers"
3599,"reffered","referred"
3600,"refference","reference"
3601,"refferr","refer"
3602,"reforce","reinforce"
3603,"refrence","reference"
3604,"refridgeration","refrigeration"
3605,"refridgerator","refrigerator"
3606,"refrom","reform"
3607,"refusla","refusal"
3608,"registery","registry"
3609,"registrate","register"
3610,"regluar","regular"
3611,"reguard","regard"
3612,"reguarly","regularly"
3613,"regularily","regularly"
3614,"regularise","variant of regularize"
3615,"regulary","regularly"
3616,"rehersal","rehearsal"
3617,"reherse","rehearse"
3618,"reinact","reenact"
3619,"rejuvinate","rejuvenate"
3620,"reknown","renown, renowned"
3621,"reknowned","renowned"
3622,"rela","real"
3623,"relagate","relegate"
3624,"relagated","relegated"
3625,"relagation","relegation"
3626,"relaly","really"
3627,"relase","release"
3628,"relatiopnship","relationship"
3629,"relativley","relatively"
3630,"relativly","relatively"
3631,"relavence","relevance"
3632,"relavent","relevant"
3633,"releave","relieve"
3634,"releive","relieve"
3635,"releived","relieved"
3636,"reletive","relative"
3637,"relevence","relevance"
3638,"relevent","relevant"
3639,"reliablity","reliability"
3640,"relience","reliance"
3641,"religeous","religious"
3642,"religon","religion"
3643,"religous","religious"
3644,"relitively","relatively"
3645,"relization","realization"
3646,"relize","realize"
3647,"relized","realised, realized"
3648,"relm","realm"
3649,"remaing","remaining"
3650,"remainging","remaining"
3651,"remanants","remnants"
3652,"remaned","remained, renamed"
3653,"remaning","remaining"
3654,"rember","remember"
3655,"remeber","remember"
3656,"rememberance","remembrance"
3657,"remembrence","remembrance"
3658,"remian","remain"
3659,"reminant","remnant"
3660,"reminent","remnant"
3661,"reminescent","reminiscent"
3662,"reminicent","reminiscent"
3663,"remodelled","variant of remodeled"
3664,"remodelling","variant of remodeling"
3665,"rendevous","rendezvous"
3666,"rennovate","renovate"
3667,"rennovation","renovation"
3668,"renound","renowned"
3669,"renouned","renowned"
3670,"renowed","renowned"
3671,"repatition","repetition, repartition"
3672,"repayed","repaid"
3673,"repeatitive","repetitive"
3674,"repeative","repetitive"
3675,"repeatively","repetitively"
3676,"repeatly","repeatedly"
3677,"repected","respected"
3678,"repeled","repelled"
3679,"repell","repel"
3680,"repentence","repentance"
3681,"repentent","repentant"
3682,"repertoir","repertoire"
3683,"repetetive","repetitive"
3684,"repetion","repetition"
3685,"repetive","repetitive"
3686,"repetoire","repertoire"
3687,"repitition","repetition"
3688,"replaceing","replacing"
3689,"replentish","replenish"
3690,"replyed","replied"
3691,"reponse","response"
3692,"reponsible","responsible"
3693,"reportably","reportedly"
3694,"repremand","reprimand"
3695,"represenative","representative"
3696,"representitive","representative"
3697,"representive","representative"
3698,"reprize","reprise"
3699,"repubic","republic"
3700,"rescure","rescue"
3701,"rescuse","rescue"
3702,"resemblence","resemblance"
3703,"reserach","research"
3704,"reservor","reservoir"
3705,"resetted","reset"
3706,"resevoir","reservoir"
3707,"residance","residence"
3708,"residant","resident"
3709,"resignement","resignment"
3710,"resistable","resistible"
3711,"resistence","resistance"
3712,"resistent","resistant"
3713,"resourse","resource"
3714,"respectivly","respectively"
3715,"responce","response"
3716,"respondant","respondent"
3717,"responibility","responsibility"
3718,"responnsibilty","responsibility"
3719,"responsability","responsibility"
3720,"responsable","responsible"
3721,"responsed","responded"
3722,"responsibilites","responsibilities"
3723,"responsibilty","responsibility"
3724,"resposibility","responsibility"
3725,"resposible","responsible"
3726,"ressemblance","resemblance"
3727,"ressemble","resemble"
3728,"ressembled","resembled"
3729,"ressemblence","resemblance"
3730,"ressembling","resembling"
3731,"ressurection","resurrection"
3732,"restarant","restaurant"
3733,"restaraunt","restaurant"
3734,"restaraunteur","restaurateur"
3735,"restaraunteurs","restaurateurs"
3736,"restaraunts","restaurants"
3737,"restauration","restoration"
3738,"restauraunt","restaurant"
3739,"resteraunt","restaurant"
3740,"resteraunts","restaurants"
3741,"restorant","restaurant"
3742,"restrant","restaurant"
3743,"restraunt","restraint, restaurant"
3744,"restuarant","restaurant"
3745,"resturant","restaurant"
3746,"resurect","resurrect"
3747,"resurecting","resurrecting"
3748,"resurgance","resurgence"
3749,"retailate","retaliate"
3750,"retailation","retaliation"
3751,"retalitated","retaliated"
3752,"retalitation","retaliation"
3753,"retardent","retardant"
3754,"rethoric","rhetoric"
3755,"retreive","retrieve"
3756,"retrive","retrieve"
3757,"retruning","returning"
3758,"retuned","returned; sometimes leave as retuned"
3759,"retured","returned"
3760,"returing","returning"
3761,"revaluated","reevaluated"
3762,"revelance","relevance"
3763,"revelant","relevant"
3764,"reverance","reverence"
3765,"reverand","reverend"
3766,"reverant","reverent"
3767,"reverese","reverse"
3768,"reversable","reversible"
3769,"revolutionar","revolutionary"
3770,"rewriet","rewrite"
3771,"rhe","the"
3772,"rhymme","rhyme"
3773,"rhythem","rhythm"
3774,"rhythim","rhythm"
3775,"rhythym","rhythm"
3776,"rhytm","rhythm"
3777,"richochet","ricochet"
3778,"richs","riches"
3779,"rided","rode"
3780,"riden","ridden"
3781,"ridgid","RIDGID, rigid"
3782,"rigeur","rigor, rigour"
3783,"rightous","righteous"
3784,"rigour","variant of rigor"
3785,"rigourous","rigorous"
3786,"rigth","right"
3787,"rininging","ringing"
3788,"riped","ripped"
3789,"rised","raised, risen, rose"
3790,"rivalled","variant of rivaled"
3791,"rivarly","rivalry"
3792,"roachs","roaches"
3793,"Rockerfeller","Rockefeller"
3794,"rococco","roccoco"
3795,"romanticise","variant of romanticize"
3796,"romatic","romantic"
3797,"roomate","roommate"
3798,"rougly","roughly"
3799,"royalites","royalties"
3800,"royalities","royalties"
3801,"royality","royalty"
3802,"rulle","rule"
3803,"ruller","ruler"
3804,"rummor","rumor, rumour"
3805,"rumour","variant of rumor"
3806,"runer","runner"
3807,"runing","running"
3808,"runned","ran, run"
3809,"rushs","rushes"
3810,"Rusian","Russian"
3811,"Russain","Russian"
3812,"Russina","Russian"
3813,"Russion","Russian"
3814,"rutheless","ruthless"
3815,"rwite","write"
3816,"rythem","rhythm"
3817,"rythim","rhythm"
3818,"rythm","rhythm"
3819,"rythym","rhythm"
3820,"sabatical","sabbatical"
3821,"sabre","variant of saber"
3822,"sacrafice","sacrifice"
3823,"sacreligious","sacrilegious"
3824,"safegaurd","safeguard"
3825,"safetly","safely, safety"
3826,"safley","safely"
3827,"saftey","safety"
3828,"safty","safety"
3829,"saleman","salesman"
3830,"saleries","salaries"
3831,"salery","salary"
3832,"San Bernadino","San Bernadino [song], San Bernardino [California]"
3833,"San Deigo","San Diego"
3834,"San Franciso","San Francisco"
3835,"San Fransico","San Francisco"
3836,"San Fransisco","San Francisco"
3837,"sancutary","sanctuary"
3838,"sandwhich","sandwich"
3839,"Sanhedrim","Sanhedrin"
3840,"santuary","sanctuary"
3841,"sargant","sergeant"
3842,"sargent","sergeant"
3843,"sasparilla","sarsaparilla"
3844,"sasy","says, sassy"
3845,"satalite","satellite"
3846,"satarize","satirize"
3847,"satelite","satellite"
3848,"Saterday","Saturday"
3849,"Saterdays","Saturdays"
3850,"satirise","variant of satirize"
3851,"satric","satiric"
3852,"satrical","satirical"
3853,"satrically","satirically"
3854,"sattelite","satellite"
3855,"saught","sought"
3856,"sauter","solder"
3857,"sautering","soldering"
3858,"saveing","saving"
3859,"saviour","variant of savior"
3860,"savour","variant of savor"
3861,"savoury","variant of savory"
3862,"savy","savvy"
3863,"saxaphone","saxophone"
3864,"say's	","	says [verb]	"
3865,"sayed","said"
3866,"scaleable","scalable"
3867,"Scandanavia","Scandinavia"
3868,"Scandanavian","Scandinavian"
3869,"scaned","scanned"
3870,"scaner","scanner"
3871,"scenary","scenery"
3872,"scenerio","scenario"
3873,"sceptre","variant of scepter"
3874,"schedual","schedule"
3875,"scheduel","schedule"
3876,"scholarstic","scholastic, scholarly"
3877,"scientifical","scientific"
3878,"scirpt","script"
3879,"scoll","scroll"
3880,"Scotish","Scottish"
3881,"Scottland","Scotland"
3882,"sculpter","sculptor"
3883,"scupture","sculpture"
3884,"seach","search"
3885,"seached","searched"
3886,"seaches","searches"
3887,"seamingly","seemingly"
3888,"searchs","searches"
3889,"seasonaly","seasonally"
3890,"secceeded","seceded, succeeded"
3891,"seccesion","secession"
3892,"seceed","succeed, secede"
3893,"seceeded","succeeded, seceded"
3894,"secondry","secondary"
3895,"secratary","secretary"
3896,"secrect","secret"
3897,"secretery","secretary"
3898,"secundary","secondary"
3899,"securites","securities"
3900,"sedantary","sedentary"
3901,"sedatative","sedative"
3902,"sedereal","sidereal"
3903,"see's	","	See's [company], sees [verb]	"
3904,"seeked","sought"
3905,"seem's	","	seems [verb]	"
3906,"seemless","seamless"
3907,"segement","segment"
3908,"seige","siege"
3909,"seires","series"
3910,"selction","selection"
3911,"selled","sold"
3912,"sence","sense"
3913,"sended","sent"
3914,"seniour","senior"
3915,"senoir","senior"
3916,"sensable","sensible"
3917,"sensure","censure"
3918,"sentance","sentence"
3919,"separatley","separately"
3920,"seperable","separable"
3921,"seperate","separate"
3922,"seperated","separated"
3923,"seperating","separating"
3924,"seperation","separation"
3925,"seperatist","separatist"
3926,"seperatism","separatism"
3927,"sepina","subpoena"
3928,"Septemper","September"
3929,"sepulchure","sepulchre, sepulcher"
3930,"sepulcre","sepulchre, sepulcher"
3931,"sequal","sequel"
3932,"sequencial","sequential"
3933,"serach","search"
3934,"serialise","variant of serialize"
3935,"serie's	","	series, series', series's	"
3936,"serieses","series"
3937,"serivce","service"
3938,"servent","servant"
3939,"setted","set, settled"
3940,"setteler","settler"
3941,"severall","several"
3942,"severeal","several"
3943,"severley","severely"
3944,"severly","severely"
3945,"sevral","several"
3946,"shaddow","shadow"
3947,"shamen","shaman, shamans"
3948,"sheat","sheath, sheet, cheat"
3949,"shedual","schedule"
3950,"shedule","schedule"
3951,"sheeps","sheep"
3952,"sheild","shield"
3953,"sherif","sheriff"
3954,"shineing","shining"
3955,"shiped","shipped"
3956,"shiping","shipping"
3957,"shoe-in","shoo-in"
3958,"shooted","shot"
3959,"shoud","should"
3960,"shoudl","should"
3961,"shoudln	","	should, shouldn't	"
3962,"should'nt	","	should not, shouldn't	"
3963,"shouldnt	","	should not, shouldn't	"
3964,"shreak","shriek"
3965,"shrewed","shrewd"
3966,"sicne","since"
3967,"sideral","sidereal"
3968,"siesmic","seismic"
3969,"sieze","seize, size"
3970,"siezed","seized, sized"
3971,"siezing","seizing, sizing"
3972,"siezure","seizure"
3973,"signalled","variant of signaled"
3974,"signalling","variant of signaling"
3975,"signifantly","significantly"
3976,"significently","significantly"
3977,"signifigance","significance"
3978,"signifigant","significant"
3979,"signitories","signatories"
3980,"signitory","signatory"
3981,"signiture","signature"
3982,"silimar","similar"
3983,"similair","similar"
3984,"similarily","similarly"
3985,"similiar","similar"
3986,"similiarity","similarity"
3987,"simmilar","similar"
3988,"simmilarly","similarly"
3989,"simpley","simply"
3990,"simplier","simpler"
3991,"simular","similar"
3992,"simulcasted","simulcast"
3993,"simultanous","simultaneous"
3994,"simultanously","simultaneously"
3995,"sincerley","sincerely"
